	Query_id	Query	Passage_id	Passage	Score
0	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_30_1605964568-1	HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.	402.25442637554033
1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_33_1621342262-1	"Climate Change: What is COP26, and why is it happening in Glasgow in 2021?  - CBBC Newsround Home Menu Home Shows Games Quizzes Watch Join  In Puzzles Newsround Newsround play Watch Newsround Climate Change: What is COP26, and why is it happening in Glasgow in 2021?  18 Nov 2020 18 November 2020 Last updated at 01:27 comments View Comments (2) COP26  The official poster for the rescheduled COP26 summit Prime Minister Boris Johnson had pledged that 2020 would be the ""defining year of climate action"" when he joined Sir David Attenborough to launch the next United Nations climate change conference.  The COP26 event is a global united Nations summit about climate change and how countries are planning to tackle it.  It was due to take place in Glasgow from 9 - 19 November with more than 200 world leaders due to attend, but when coronavirus arrived, that all changed.  Cop26 was moved to 1 and 12 November 2021 but many young activists from around the world are meeting at an online conference called Mock COP26 on the original dates.  So what is COP26 all about?  Keep reading to find out."	387.422386994966
2	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_30_1605964568-5	"Learn more about #G7UK #COP26 Twitter 1395288188785098757 COP26 @COP26 · May 20, 2021 1395273087688577026 ""COP26 is about the radical collaboration between everyone"" Ahead of last year's Climate Ambition Summit, we spoke to @LaurenceTubiana, who helped shape the #ParisAgreement With only 6 months until #COP26, we are officially on the road to Glasgow. #TogetherForOurPlanet Twitter 1395273087688577026 COP26 @COP26 · May 20, 2021 1395257984712859655 Four Goals #COP26 Collaboration Working together to deliver the Paris Rulebook and accelerate #ClimateAction is one of the four key goals the UK is taking to governments across the world.  Learn more #COP26 | #TogetherForOurPlanet Twitter 1395257984712859655 COP26 @COP26 · May 19, 2021 1395076797579026435 The global transition to a more sustainable and resilient future will require all forms of finance: public and private; domestic and international.  Read the #COP26 Priorities for Public Finance #TogetherForOurPlanet | #ClimateAction Twitter 1395076797579026435 COP26 @COP26 · May 19, 2021 1395046592516960257 Gender responsive climate investments can strengthen climate and environmental outcomes, open up business opportunities and be financially more effective.  That's one reason why @MarkJCarney has committed to becoming an International Gender Champion Learn more Twitter 1395046592516960257 COP26 @COP26 · May 19, 2021 1394986201787031556 Private finance is crucial in helping the world get to net zero."	357.24247484653006
3	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_56_509777868-2	This year’s COP26 represents a major milestone as the world looks to recover better from the global pandemic and implement the transformative change necessary to limit the global temperature rise to 1.5°C. Collective action will be critical and we call on businesses to assess environmental risks and opportunities, set and deliver ambitious environmental targets and adopt responsible practices for a transition to the net-zero, resilient economy.	350.7422688174738
4	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_00_1102877206-1	Effects | Facts – Climate Change: Vital Signs of the Planet The Effects of Climate Change The potential future effects of global climate change include more frequent wildfires, longer periods of drought in some regions and an increase in the number, duration and intensity of tropical storms.  Credit: Left - Mellimage/Shutterstock.com, center - Montree Hanlue/Shutterstock.com.  › en español Global climate change has already had observable effects on the environment.  Glaciers have shrunk, ice on rivers and lakes is breaking up earlier, plant and animal ranges have shifted and trees are flowering sooner.  Effects that scientists had predicted in the past would result from global climate change are now occurring: loss of sea ice, accelerated sea level rise and longer, more intense heat waves.  Taken as a whole, the range of published evidence indicates that the net damage costs of climate change are likely to be significant and to increase over time.  Scientists have high confidence that global temperatures will continue to rise for decades to come, largely due to greenhouse gases produced by human activities.  The Intergovernmental Panel on Climate Change (IPCC), which includes more than 1,300 scientists from the United States and other countries, forecasts a temperature rise of 2.5 to 10 degrees Fahrenheit over the next century.	290.953725595813
5	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_27_1574256585-1	Event: UN Climate Change Conference (UNFCCC COP 26) | SDG Knowledge Hub | IISD 1-12 November 2021 Glasgow, Scotland, UK share this twitter facebook googleplus pinterest UN Climate Change Conference (UNFCCC COP 26)  The 26th session of the Conference of the Parties (COP 26) to the UNFCCC was originally scheduled to take place from 9-19 November 2020, in Glasgow, UK.  On 28 May 2020, the COP Bureau decided that it would take place from 1-12 November 2021, in Glasgow, UK.  The change in dates had been anticipated following a decision, on 1 April 2020, to postpone the event due to the COVID-19 pandemic.  At that time, the COP Bureau announced that: “In light of the ongoing, worldwide effects of COVID-19, holding an ambitious, inclusive COP26 in November 2020 is no longer possible.  Rescheduling will ensure all parties can focus on the issues to be discussed at this vital conference and allow more time for the necessary preparations to take place.  We will continue to work with all involved to increase climate ambition, build resilience and lower emissions.”  The Italy-hosted Pre-COP and 'Youth for the Climate' event are also postponed.  SDG Knowledge Hub coverage of COP 25 and related events here.	267.1789312629244
6	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_30_1605964568-1	HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.	246.427632315088
7	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_56_509777868-2	This year’s COP26 represents a major milestone as the world looks to recover better from the global pandemic and implement the transformative change necessary to limit the global temperature rise to 1.5°C. Collective action will be critical and we call on businesses to assess environmental risks and opportunities, set and deliver ambitious environmental targets and adopt responsible practices for a transition to the net-zero, resilient economy.	225.14779555852147
8	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_30_1605964568-5	"Learn more about #G7UK #COP26 Twitter 1395288188785098757 COP26 @COP26 · May 20, 2021 1395273087688577026 ""COP26 is about the radical collaboration between everyone"" Ahead of last year's Climate Ambition Summit, we spoke to @LaurenceTubiana, who helped shape the #ParisAgreement With only 6 months until #COP26, we are officially on the road to Glasgow. #TogetherForOurPlanet Twitter 1395273087688577026 COP26 @COP26 · May 20, 2021 1395257984712859655 Four Goals #COP26 Collaboration Working together to deliver the Paris Rulebook and accelerate #ClimateAction is one of the four key goals the UK is taking to governments across the world.  Learn more #COP26 | #TogetherForOurPlanet Twitter 1395257984712859655 COP26 @COP26 · May 19, 2021 1395076797579026435 The global transition to a more sustainable and resilient future will require all forms of finance: public and private; domestic and international.  Read the #COP26 Priorities for Public Finance #TogetherForOurPlanet | #ClimateAction Twitter 1395076797579026435 COP26 @COP26 · May 19, 2021 1395046592516960257 Gender responsive climate investments can strengthen climate and environmental outcomes, open up business opportunities and be financially more effective.  That's one reason why @MarkJCarney has committed to becoming an International Gender Champion Learn more Twitter 1395046592516960257 COP26 @COP26 · May 19, 2021 1394986201787031556 Private finance is crucial in helping the world get to net zero."	204.1752488715865
9	132_1-7	Woah. The effects of climate change are not all bad, right?	MARCO_36_685584816-2	Here are just a few ways that climate change impacts our everyday lives: Climate Change Is Bad for Our Health Climate change impacts human health in countless ways, but four are worth emphasizing here: Rising temperatures: As temperatures climb around the globe, we expect to see more heatwaves – and ever-more intense ones at that. Extreme heat can “ overpower the human body ” and cause dehydration, heatstroke, and major organ damage.  And certain populations are more at risk from the impacts of heatwaves than others, including the elderly, children, and the poor.  Air quality: Pollution from burning fossil fuels is bad enough for the air we breathe, but many impacts of climate change also impact air quality.  For instance, climate change has been linked to more wildfires.  Wildfire smoke carries fine particles that “ can penetrate deep into your lungs .”  Exposure has been linked to burning eyes, heart and lung diseases, and even death.  Vector-borne diseases: Vector-borne diseases are illnesses spread by insects or arachnids like mosquitoes, fleas, mites, and ticks.  As our climate becomes warmer, some insects will see their geographic ranges grow – bringing the Lyme disease and West Nile or Zika viruses they carry along with them to new regions.	237.00241093104705
